,gene_name,ribosomal_subunit
ENSG00000053438,NNAT,False
ENSG00000053501,USE1,False
ENSG00000053524,MCF2L2,False
ENSG00000053702,NRIP2,False
ENSG00000053747,LAMA3,False
ENSG00000053770,AP5M1,False
ENSG00000053900,ANAPC4,False
ENSG00000053918,KCNQ1,False
ENSG00000054116,TRAPPC3,False
ENSG00000054118,THRAP3,False
ENSG00000054148,PHPT1,False
ENSG00000054179,ENTPD2,False
ENSG00000054219,LY75,False
ENSG00000054267,ARID4B,False
ENSG00000054277,OPN3,False
ENSG00000054282,SDCCAG8,False
ENSG00000054356,PTPRN,False
ENSG00000054392,HHAT,False
ENSG00000054523,KIF1B,False
ENSG00000054598,FOXC1,False
ENSG00000054611,TBC1D22A,False
ENSG00000054654,SYNE2,False
ENSG00000054690,PLEKHH1,False
ENSG00000054793,ATP9A,False
ENSG00000054796,SPO11,False
ENSG00000054803,CBLN4,False
ENSG00000054938,CHRDL2,False
ENSG00000054965,FAM168A,False
ENSG00000054967,RELT,False
ENSG00000054983,GALC,False
ENSG00000055044,NOP58,False
ENSG00000055070,SZRD1,False
ENSG00000055118,KCNH2,False
ENSG00000055130,CUL1,False
ENSG00000055147,FAM114A2,False
ENSG00000055163,CYFIP2,False
ENSG00000055208,TAB2,False
ENSG00000055211,GINM1,False
ENSG00000055332,EIF2AK2,False
ENSG00000055483,USP36,False
ENSG00000055609,KMT2C,False
ENSG00000055732,MCOLN3,False
ENSG00000055813,CCDC85A,False
ENSG00000055917,PUM2,False
ENSG00000055950,MRPL43,True
ENSG00000055955,ITIH4,False
ENSG00000055957,ITIH1,False
ENSG00000056050,C4orf27,False
ENSG00000056097,ZFR,False
ENSG00000056277,ZNF280C,False
ENSG00000056487,PHF21B,False
ENSG00000056558,TRAF1,False
ENSG00000056586,RC3H2,False
ENSG00000056736,IL17RB,False
ENSG00000056972,TRAF3IP2,False
ENSG00000056998,GYG2,False
ENSG00000057019,DCBLD2,False
ENSG00000057149,SERPINB3,False
ENSG00000057252,SOAT1,False
ENSG00000057294,PKP2,False
ENSG00000057468,MSH4,False
ENSG00000057593,F7,False
ENSG00000057608,GDI2,False
ENSG00000057657,PRDM1,False
ENSG00000057663,ATG5,False
ENSG00000057704,TMCC3,False
ENSG00000057757,PITHD1,False
ENSG00000057935,MTA3,False
ENSG00000058056,USP13,False
ENSG00000058063,ATP11B,False
ENSG00000058085,LAMC2,False
ENSG00000058091,CDK14,False
ENSG00000058262,SEC61A1,False
ENSG00000058272,PPP1R12A,False
ENSG00000058335,RASGRF1,False
ENSG00000058404,CAMK2B,False
ENSG00000058453,CROCC,False
ENSG00000058600,POLR3E,False
ENSG00000058668,ATP2B4,False
ENSG00000058673,ZC3H11A,False
ENSG00000058729,RIOK2,False
ENSG00000058799,YIPF1,False
ENSG00000058804,NDC1,False
ENSG00000058866,DGKG,False
ENSG00000059122,FLYWCH1,False
ENSG00000059145,UNKL,False
ENSG00000059377,TBXAS1,False
ENSG00000059378,PARP12,False
ENSG00000059573,ALDH18A1,False
ENSG00000059588,TARBP1,False
ENSG00000059691,GATB,False
ENSG00000059728,MXD1,False
ENSG00000059758,CDK17,False
ENSG00000059769,DNAJC25,False
ENSG00000059804,SLC2A3,False
ENSG00000059915,PSD,False
ENSG00000060069,CTDP1,False
ENSG00000060138,YBX3,False
ENSG00000060140,STYK1,False
ENSG00000060237,WNK1,False
ENSG00000060339,CCAR1,False
ENSG00000060491,OGFR,False
ENSG00000060558,GNA15,False
ENSG00000060566,CREB3L3,False
ENSG00000060642,PIGV,False
ENSG00000060656,PTPRU,False
ENSG00000060688,SNRNP40,False
ENSG00000060709,RIMBP2,False
ENSG00000060718,COL11A1,False
ENSG00000060749,QSER1,False
ENSG00000060762,MPC1,False
ENSG00000060971,ACAA1,False
ENSG00000060982,BCAT1,False
ENSG00000061273,HDAC7,False
ENSG00000061337,LZTS1,False
ENSG00000061455,PRDM6,False
ENSG00000061656,SPAG4,False
ENSG00000061676,NCKAP1,False
ENSG00000061794,MRPS35,True
ENSG00000061918,GUCY1B3,False
ENSG00000061936,SFSWAP,False
ENSG00000061938,TNK2,False
ENSG00000061987,MON2,False
ENSG00000062038,CDH3,False
ENSG00000062096,ARSF,False
ENSG00000062194,GPBP1,False
ENSG00000062282,DGAT2,False
ENSG00000062370,ZNF112,False
ENSG00000062485,CS,False
ENSG00000062524,LTK,False
ENSG00000062582,MRPS24,True
